YEAR,COUNTY,OPERATIONS WITH TAPS,OPERATIONS WITH SALES,NUMBER OF TAPS,SALES,PRODUCTION,TAVG,FZF9,HTDD,DX32,FZF5,EMXP,SNOW,TMIN,DX70,FZF0,EMNT,FZF4,FZF6,FZF2,DX90,EMXT,CDSD,PRCP,FZF7,TMAX,FZF8,DT32,DT00,CLDD,FZF3,FZF1
2012,ORLEANS,142,142.0,"413,124","2,678,000","85,944",54.7,16.0,7450.0,61.0,30.0,2.935,44.6,34.91833333333334,124.0,31.0,-13.0,15.0,28.0,21.0,2.0,91.0,343.0,44.11,22.0,34.5,20.0,168.0,24.0,343.0,15.0,27.0
2007,ORLEANS,141,,"253,562",,"50,525",41.0,-5.0,8648.0,89.0,30.0,2.33,161.5,30.8,107.0,28.0,-22.0,16.0,28.0,23.0,2.0,91.0,254.0,48.45,18.0,51.2,18.0,178.0,48.0,254.0,18.0,28.0
1997,ORLEANS,136,,"241,274",,,40.15,15.5,8593.0,82.5,29.5,3.95,226.85,29.85,83.0,31.5,-25.5,15.0,25.5,24.0,0.5,86.5,159.0,62.155,23.5,50.4,17.0,187.5,31.0,159.0,19.5,27.0
2017,RUTLAND,99,99.0,"298,054","2,994,000","107,630",57.75,9.5,6912.5,44.5,30.0,1.59,46.4,35.44926470588236,134.5,31.5,-16.0,12.0,27.5,22.0,4.0,92.0,335.0,43.59,24.0,35.1,17.0,156.0,17.0,335.0,19.5,26.5
2012,RUTLAND,121,119.0,"204,696","1,804,000","48,862",59.65000000000001,8.5,6142.0,24.5,31.5,2.51,48.40000000000001,36.111029411764704,139.5,28.0,-8.5,13.5,24.5,22.0,7.0,93.0,408.5,39.6,23.0,37.15,14.0,147.5,4.0,408.5,19.5,23.5
2007,RUTLAND,108,,"139,654",,"37,308",44.8,14.0,7185.5,57.0,31.0,2.465,107.5,33.4,131.5,30.0,-17.0,16.0,27.5,23.5,5.5,94.0,351.0,46.17,23.0,56.15,14.0,167.0,23.0,351.0,19.0,23.5
1997,RUTLAND,126,,"171,675",,,44.5,16.0,7276.0,47.0,32.0,1.3199999999999998,109.2,33.3,114.0,30.0,-16.0,14.0,26.0,24.0,0.0,88.0,249.0,35.455,23.0,55.7,18.0,182.0,12.0,249.0,19.0,27.0
2017,WASHINGTON,112,112.0,"219,249","2,154,000","69,726",53.65,12.0,7708.0,71.5,32.0,2.29,43.9,130.0,113.0,30.0,-17.5,11.5,26.0,19.5,1.0,90.0,229.0,49.55,18.5,35.15000000000001,12.0,144.0,15.5,229.0,17.5,24.5
2012,WASHINGTON,93,92.0,"101,944","664,000","16,583",56.4,3.0,7007.5,53.0,31.0,1.85,45.6,360.0,126.0,31.0,-17.0,14.0,26.0,23.0,6.0,92.0,328.0,42.17,23.0,35.3,20.0,159.0,14.0,328.0,16.0,26.0
2007,WASHINGTON,72,,"107,704",,"23,266",42.7,16.0,8045.0,71.0,32.0,2.885,171.10000000000005,31.3,119.0,30.0,-21.0,15.0,27.0,24.0,6.0,96.0,282.0,47.24,22.0,54.1,18.0,173.0,37.0,282.0,18.0,27.0
1997,WASHINGTON,99,,"145,202",,,41.0,16.0,8261.0,62.0,31.0,2.035,118.9,31.0,104.0,31.0,-27.0,14.0,28.0,24.0,0.0,87.0,131.0,44.12,24.0,52.8,16.0,184.0,22.0,131.0,19.0,26.0
2017,WINDHAM,66,66.0,"201,926","1,996,000","72,324",51.05,12.5,7071.0,37.5,31.0,2.65,67.85,34.55454545454545,125.5,32.0,-12.5,9.0,25.0,24.0,1.5,91.5,285.5,49.04,23.0,45.45,16.5,174.0,16.0,285.5,18.5,26.0
2012,WINDHAM,98,98.0,"217,448","1,870,000","54,522",54.58125,12.1875,6468.0,40.3125,31.0,4.375,53.69375000000001,35.21363636363636,124.5625,32.0,-15.3125,7.125,26.875,24.0,1.8125,91.8125,300.8125,38.52,23.625,38.04375,18.6875,175.25,19.125,300.8125,19.4375,24.75
2007,WINDHAM,104,,"206,135",,"39,339",44.3,13.0,7231.0,64.0,32.0,3.7,168.0,34.0,114.0,32.0,-12.0,15.0,28.0,24.0,1.0,90.0,274.0,56.29,18.0,54.6,18.0,165.0,11.0,274.0,18.0,24.0
1997,WINDHAM,127,,"166,216",,,45.96666666666667,13.0,7244.0,50.33333333333334,28.0,2.2,150.1,34.666666666666664,126.66666666666669,28.66666666666667,-13.666666666666664,16.0,26.0,22.33333333333333,9.0,93.0,423.66666666666674,51.75,24.0,57.3,14.666666666666664,162.33333333333334,18.0,423.66666666666674,19.33333333333333,27.33333333333333
2017,WINDSOR,137,137.0,"247,707","2,401,000","75,698",57.0,13.0,7072.0,49.0,30.0,2.2,45.8,270.0,135.0,32.0,-18.0,16.0,26.0,20.0,6.0,94.0,367.0,51.125,22.0,34.4,17.0,159.0,16.0,367.0,19.0,27.0
2012,WINDSOR,188,186.0,"301,451","1,936,000","52,241",59.4,2.0,6534.0,31.0,32.0,2.085,47.9,260.0,136.0,29.0,-14.0,15.0,25.0,22.0,12.0,94.0,479.0,38.96,23.0,36.4,20.0,164.0,9.0,479.0,18.0,24.0
2007,WINDSOR,174,,"301,940",,"55,986",44.0,14.0,7434.0,64.0,30.5,2.245,114.15,32.0,127.0,30.0,-19.5,14.5,26.5,22.0,8.0,94.0,372.0,45.66,22.0,55.8,14.0,181.0,28.0,372.0,19.0,23.5
1997,WINDSOR,205,,"232,668",,,43.3,11.5,7667.0,49.0,31.5,2.0,120.1,31.65,109.5,29.5,-16.5,13.0,26.5,22.5,5.5,90.5,228.5,44.42,23.5,54.95,18.5,185.5,14.5,228.5,18.5,26.5
