"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","FZF0","FZF1","FZF2","FZF3","FZF4","FZF5","FZF6","FZF7","FZF8","FZF9","HDSD","HTDD","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5"
"USC00430940","BROOKFIELD 2 SW, VT US","44.0242","-72.6411","396.2","2003",,,,"141","90","134","45",,,,,,,"27","24.0","2.17",,,,,,,,,,,,,,"47.26",,"149.8",,,,,,,,
"USC00430940","BROOKFIELD 2 SW, VT US","44.0242","-72.6411","396.2","2004",,,,,,"119","41",,,,,,,"25","8.0",,,,,,,,,,,,,,,,,"78.7",,,,,,,,
"USC00430940","BROOKFIELD 2 SW, VT US","44.0242","-72.6411","396.2","2005",,,,,,"133","42",,,,,,,"31","9.0",,,,,,,,,,,,,,,,,"127.8",,,,,,,,
"USC00437098","SALISBURY 2 N, VT US","43.9256","-73.0992","128.0","2000",,"322","322","153","93","79","28","26","165","54","132","0","-16","21","12.2","2.01","88","32","22","22","20","13","31","28","22","18","6","7014","7014","42.96",,"99.3","45.2","57.0","33.3",,,,,
"USC00437098","SALISBURY 2 N, VT US","43.9256","-73.0992","128.0","2001",,"522","522","120","74","124","33","13","181","32","151","18","-9","22","16.5","1.26","98","31","28","23","17","15","26","26","21","20","6","7592","7592","25.27",,"79.0","47.0","60.0","34.0",,,,,
"USC00437098","SALISBURY 2 N, VT US","43.9256","-73.0992","128.0","2002",,"527","527","142","85","111","29","10","196","26","143","26","-11","9","10.0","1.75","98","30","26","20","20","13","31","24","24","20","11","6722","6722","37.86",,"78.0","46.3","59.7","32.9",,,,,
"USC00437098","SALISBURY 2 N, VT US","43.9256","-73.0992","128.0","2003",,"419","419","142","95","123","31","38","173","63","143","9","-26","17","14.0","2.11","96","25","25","24","13","13","32","28","23","18","13","8226","8226","46.86",,"100.4","44.4","57.6","31.2",,,,,
"USC00437098","SALISBURY 2 N, VT US","43.9256","-73.0992","128.0","2004",,"309","309","136","95","104","25","31","184","50","147","4","-25","13","3.6","2.59","90","30","28","23","20","13","32","22","22","18","16","7592","7592","36.41",,"48.5","44.3","57.6","30.9",,,,,
"USC00430661","BETHEL 4 N, VT US","43.8833","-72.6344","201.2","2000",,,,"154","86","112","22",,,,,,,"28","10.0","2.34",,,,,,,,,,,,,,"44.97",,"81.5",,,,,,,,
"USC00430661","BETHEL 4 N, VT US","43.8833","-72.6344","201.2","2001",,,,"125","64","134","20",,,,,,,"39","15.5","1.60",,,,,,,,,,,,,,"29.80",,"96.4",,,,,,,,
"USC00430661","BETHEL 4 N, VT US","43.8833","-72.6344","201.2","2002",,,,"136","84","138","26",,,,,,,"17","10.0","2.30",,,,,,,,,,,,,,"44.93",,"98.2",,,,,,,,
"USC00430661","BETHEL 4 N, VT US","43.8833","-72.6344","201.2","2003",,,,"150","88","136","24",,,,,,,"33","15.0","2.42",,,,,,,,,,,,,,"49.07",,"96.1",,,,,,,,
"USC00430661","BETHEL 4 N, VT US","43.8833","-72.6344","201.2","2004",,,,"143","77","121","24",,,,,,,"26","8.0","1.34",,,,,,,,,,,,,,"36.75",,"50.2",,,,,,,,
"USC00430661","BETHEL 4 N, VT US","43.8833","-72.6344","201.2","2005",,,,"145","97","134","28",,,,,,,"29","8.0","1.88",,,,,,,,,,,,,,"49.44",,"94.3",,,,,,,,
